iso3c,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,0,0,0,0,0,0,1000,1000,0,1000,0,0,0,704225
AGO,317175,317175,0,0,0,0,0,0,0,0,0,30000,120000,120000
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,10053263,10053263,54000,30054000,4265207,5.00E+05,1698602,1843646,6703556,5109523,40249572,38757689,2812175,3663083
ARG,20000,20000,30000,0,38922,1.00E+05,226000,326000,326000,123420,430841,482100,267100,107100
ARM,0,0,0,0,0,0,98712,98172,198712,98000,49000,98000,98000,98000
AUS,16689110,16689110,28229902,32873505,45104443,56537400,48644473,57522352,48200780,51296866,49873006,32852147,28652493,28741727
AUT,2550031,2550031,2844137,2247678,3271699,3196776,2593834,5032660,2815524,8611759.505,2398667,3602674,3956389,10058995
AZE,0,0,20000,20000,20000,20000,55478,26237,36724,50400,3600,7200,67200,37208
BDI,1086,1086,0,778,0,0,0,0,0,0,0,0,0,0
BEL,11952212,11952212,15909379,23840967,21961676,26930127,16850476,19569244,10328991,25638064.75,23837778,23891923,22034357,21726476
BEN,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,0,0,0,0,0,0,0,0,0,12000,0,0,0,0
BGR,5000,5000,80892,7000,0,8000,141792,10000,11000,676012.036,107025,107025,0,70991
BHR,0,0,10000,0,10000,0,0,0,3530000,0,0,0,0,0
BIH,0,0,0,0,0,0,0,0,0,0,0,3000,0,0
BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,30000,30000,0,50000,3500000,3750034,3635936,714204,3213557,743133,892036,33235,1089574,266115
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,113288,13228,13288,16600,15236,30472,0,30472
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,35662770,35662770,42792868,45561841,46520016,58543383,64989067,75231998,73423460,70086271,78748445,72885485,59732515,69517601
CHE,21288138,21288138,25481287,25607741,25521158,31624870,37547459,45866329,47684728,51539206,45847257,42837379,41688356,41922836
CHL,80000,80000,1.00E+05,1.00E+05,1.00E+05,1.00E+05,1.00E+05,1.00E+05,1.00E+05,70000,70000,70000,0,0
CHN,250000,250000,651906,250000,250000,250000,474630,1475014,929464,941841,9844846,1232626,1924229,1765630
CIV,0,0,0,0,0,10000,102178,0,0,0,0,0,0,0
CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,525000,525000,25000,0,25000,10000,1.00E+06,172162,0,0,0,0,106323,35000
CRI,16194,16194,13534,14973,18142,17397,15385,15000,15147,16160,15413,15413,0,16282
CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,129069,129069,143098,75678,82109,34409,13011,13226,6244,251222.3542,0,45506,0,110833
CZE,396895,396895,986396,549100,165189,126794,337052,313380,394441,4758745.613,2597536,2616586,4826684,3420954
DEU,33285877,33285877,48884187,54529973,49739460,55678221,69262446,116617788,139497612,184448168,338763984,395879891,390479234,446900261
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,57945675,57945675,55779338,52132909,56768147,46850547,58139553,86486360,77229927,76074043,70017035,82080067,91641152,96555108
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
