,iso3c,country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,AFG,Afghanistan,79.93467001,79.93467001,79.93467001,79.93467001,79.93467001,79.93467001,79.93467001,79.93467001,79.93467001,79.93467001,79.93467001,79.93467001,79.93467001,79.93467001,79.93467001,79.93467001
2,AGO,Angola,142.734542,142.734542,142.734542,142.734542,142.734542,142.734542,142.734542,142.734542,142.734542,142.734542,142.734542,142.734542,142.734542,142.734542,142.734542,142.734542
3,ALB,Albania,307.6281493,307.6281493,307.6281493,307.6281493,307.6281493,307.6281493,307.6281493,307.6281493,307.6281493,307.6281493,307.6281493,307.6281493,307.6281493,307.6281493,307.6281493,307.6281493
4,ARG,Argentina,345.4887405,345.4887405,345.4887405,345.4887405,345.4887405,345.4887405,345.4887405,345.4887405,345.4887405,345.4887405,345.4887405,345.4887405,345.4887405,345.4887405,345.4887405,345.4887405
5,AUS,Australia,478.1181071,478.1181071,478.1181071,478.1181071,478.1181071,478.1181071,478.1181071,478.1181071,478.1181071,478.1181071,478.1181071,478.1181071,478.1181071,478.1181071,478.1181071,478.1181071
6,AUT,Austria,143.4709651,143.4709651,143.4709651,143.4709651,191.2045889,191.2045889,191.2045889,191.2045889,191.2045889,191.2045889,191.2045889,191.2045889,191.2045889,191.2045889,191.2045889,191.2045889
7,BEL,Belgium,160.5070522,160.5070522,160.5070522,160.5070522,142.2475107,142.2475107,156.9858713,156.9858713,156.9858713,156.9858713,156.9858713,156.9858713,156.9858713,156.9858713,156.9858713,156.9858713
8,BGR,Bulgaria,799.2685656,799.2685656,799.2685656,799.2685656,757.5757576,757.5757576,757.5757576,757.5757576,757.5757576,757.5757576,757.5757576,757.5757576,757.5757576,757.5757576,757.5757576,757.5757576
9,BIH,Bosnia & Herzegovina,110.4078925,110.4078925,110.4078925,110.4078925,43.57298475,43.57298475,43.57298475,43.57298475,43.57298475,43.57298475,43.57298475,43.57298475,43.57298475,43.57298475,43.57298475,43.57298475
10,BOL,Bolivia,4.662132898,4.662132898,4.662132898,4.662132898,4.662132898,4.662132898,4.662132898,4.662132898,4.662132898,4.662132898,4.662132898,4.662132898,4.662132898,4.662132898,4.662132898,4.662132898
11,BRA,Brazil,336.7853381,336.7853381,336.7853381,336.7853381,336.7853381,336.7853381,336.7853381,336.7853381,336.7853381,336.7853381,336.7853381,336.7853381,336.7853381,336.7853381,336.7853381,336.7853381
12,CAN,Canada,264.3160627,264.3160627,264.3160627,264.3160627,264.3160627,264.3160627,264.3160627,264.3160627,264.3160627,264.3160627,264.3160627,264.3160627,264.3160627,264.3160627,264.3160627,264.3160627
13,CHE,Switzerland,195.4531712,195.4531712,195.4531712,195.4531712,157.2327044,157.2327044,202.020202,202.020202,202.020202,202.020202,202.020202,202.020202,202.020202,202.020202,202.020202,202.020202
14,CHL,Chile,517.4017744,517.4017744,517.4017744,517.4017744,517.4017744,517.4017744,517.4017744,517.4017744,517.4017744,517.4017744,517.4017744,517.4017744,517.4017744,517.4017744,517.4017744,517.4017744
15,CHN,China,363.3591687,363.3591687,363.3591687,363.3591687,363.3591687,363.3591687,363.3591687,363.3591687,363.3591687,363.3591687,363.3591687,363.3591687,363.3591687,363.3591687,363.3591687,363.3591687
16,CIV,Côte d’Ivoire,310.5514001,310.5514001,310.5514001,310.5514001,310.5514001,310.5514001,310.5514001,310.5514001,310.5514001,310.5514001,310.5514001,310.5514001,310.5514001,310.5514001,310.5514001,310.5514001
17,COL,Colombia,393.9562631,393.9562631,393.9562631,393.9562631,393.9562631,393.9562631,393.9562631,393.9562631,393.9562631,393.9562631,393.9562631,393.9562631,393.9562631,393.9562631,393.9562631,393.9562631
18,CRI,Costa Rica,543.7565648,543.7565648,543.7565648,543.7565648,543.7565648,543.7565648,543.7565648,543.7565648,543.7565648,543.7565648,543.7565648,543.7565648,543.7565648,543.7565648,543.7565648,543.7565648
