country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,82466105925,82466105925,82466105925,82466105925,82466105925,82466105925,82466105925,82466105925,82466105925,82466105925,82466105925
Japan,5207970340,5207970340,5207970340,5207970340,5207970340,5207970340,5207970340,5207970340,5207970340,5207970340,5207970340
China,4655683970,4655683970,4655683970,4655683970,4655683970,4655683970,4655683970,4655683970,4655683970,4655683970,4655683970
Russia,3574921646,3574921646,3574921646,3574921646,3574921646,3574921646,3574921646,3574921646,3574921646,3574921646,3574921646
United Kingdom,3138845155,3138845155,3138845155,3138845155,3138845155,3138845155,3138845155,3138845155,3138845155,3138845155,3138845155
Italy,2447455535,2447455535,2447455535,2447455535,2447455535,2447455535,2447455535,2447455535,2447455535,2447455535,2447455535
Mexico,1150936926,1150936926,1150936926,1150936926,1150936926,1150936926,1150936926,1150936926,1150936926,1150936926,1150936926
South Korea,1099548079,1099548079,1099548079,1099548079,1099548079,1099548079,1099548079,1099548079,1099548079,1099548079,1099548079
France,699853662.6,699853662.6,699853662.6,699853662.6,699853662.6,699853662.6,699853662.6,699853662.6,699853662.6,699853662.6,699853662.6
Germany,566995046.1,566995046.1,566995046.1,566995046.1,566995046.1,566995046.1,566995046.1,566995046.1,566995046.1,566995046.1,566995046.1
Saudi Arabia,549774039.5,549774039.5,549774039.5,549774039.5,549774039.5,549774039.5,549774039.5,549774039.5,549774039.5,549774039.5,549774039.5
Indonesia,541305100.1,541305100.1,541305100.1,541305100.1,541305100.1,541305100.1,541305100.1,541305100.1,541305100.1,541305100.1,541305100.1
Switzerland,521028569.3,521028569.3,521028569.3,521028569.3,521028569.3,521028569.3,521028569.3,521028569.3,521028569.3,521028569.3,521028569.3
Canada,516217921.3,516217921.3,516217921.3,516217921.3,516217921.3,516217921.3,516217921.3,516217921.3,516217921.3,516217921.3,516217921.3
Iran,439819231.6,439819231.6,439819231.6,439819231.6,439819231.6,439819231.6,439819231.6,439819231.6,439819231.6,439819231.6,439819231.6
Turkey,415960876.7,415960876.7,415960876.7,415960876.7,415960876.7,415960876.7,415960876.7,415960876.7,415960876.7,415960876.7,415960876.7
Taiwan,415210887.1,415210887.1,415210887.1,415210887.1,415210887.1,415210887.1,415210887.1,415210887.1,415210887.1,415210887.1,415210887.1
Greece,378187443.9,378187443.9,378187443.9,378187443.9,378187443.9,378187443.9,378187443.9,378187443.9,378187443.9,378187443.9,378187443.9
Venezuela,337881889.3,337881889.3,337881889.3,337881889.3,337881889.3,337881889.3,337881889.3,337881889.3,337881889.3,337881889.3,337881889.3
Finland,289794674,289794674,289794674,289794674,289794674,289794674,289794674,289794674,289794674,289794674,289794674
