Region,Sub-region,Country,Year,Measure Names,Measure Values
Africa,Eastern Africa,Mauritius,2003,Rate,24.648632911
Africa,Eastern Africa,Mauritius,2003,Count,298
Africa,Eastern Africa,Mozambique,2004,Rate,4.188734113
Africa,Eastern Africa,Mauritius,2004,Rate,24.431012415
Africa,Eastern Africa,Kenya,2004,Rate,8.081880676
Africa,Eastern Africa,Mozambique,2004,Count,834
Africa,Eastern Africa,Mauritius,2004,Count,297
Africa,Eastern Africa,Kenya,2004,Count,2880
Africa,Eastern Africa,Uganda,2005,Rate,50.934472932
Africa,Eastern Africa,Mozambique,2005,Rate,3.849920440
Africa,Eastern Africa,Mauritius,2005,Rate,25.695370742
Africa,Eastern Africa,Kenya,2005,Rate,7.071691663
Africa,Eastern Africa,Uganda,2005,Count,14101
Africa,Eastern Africa,Mozambique,2005,Count,789
Africa,Eastern Africa,Mauritius,2005,Count,314
Africa,Eastern Africa,Kenya,2005,Count,2590
Africa,Eastern Africa,Uganda,2006,Rate,59.660913492
Africa,Eastern Africa,Mozambique,2006,Rate,3.031293480
Africa,Eastern Africa,Mauritius,2006,Rate,34.199475771
Africa,Eastern Africa,Kenya,2006,Rate,7.875366809
Africa,Eastern Africa,Uganda,2006,Count,17046
Africa,Eastern Africa,Mozambique,2006,Count,639
Africa,Eastern Africa,Mauritius,2006,Count,420
Africa,Eastern Africa,Kenya,2006,Count,2965
Africa,Eastern Africa,Uganda,2007,Rate,63.907580224
Africa,Eastern Africa,Mozambique,2007,Rate,2.902185729
Africa,Eastern Africa,Mauritius,2007,Rate,31.121088590
Africa,Eastern Africa,Kenya,2007,Rate,7.882513093
Africa,Eastern Africa,Uganda,2007,Count,18844
Africa,Eastern Africa,Mozambique,2007,Count,629
Africa,Eastern Africa,Mauritius,2007,Count,384
Africa,Eastern Africa,Kenya,2007,Count,3051
Africa,Eastern Africa,Uganda,2008,Rate,34.059844774
Africa,Eastern Africa,Mozambique,2008,Rate,2.872969843
Africa,Eastern Africa,Mauritius,2008,Rate,33.326286128
Africa,Eastern Africa,Kenya,2008,Rate,6.833035200
Africa,Eastern Africa,Burundi,2008,Rate,7.371306102
Africa,Eastern Africa,Uganda,2008,Count,10365
Africa,Eastern Africa,Mozambique,2008,Count,640
Africa,Eastern Africa,Mauritius,2008,Count,413
Africa,Eastern Africa,Kenya,2008,Count,2719
Africa,Eastern Africa,Burundi,2008,Count,599
Africa,Eastern Africa,Uganda,2009,Rate,27.525301565
Africa,Eastern Africa,Mozambique,2009,Rate,2.677473234
Africa,Eastern Africa,Mauritius,2009,Rate,35.530660870
Africa,Eastern Africa,Kenya,2009,Rate,9.945772558
Africa,Eastern Africa,Burundi,2009,Rate,8.335654416
Africa,Eastern Africa,Uganda,2009,Count,8646
