id,specific_target,suicide,terrorists_killed,summary,source_urls,source_names,start_date,end_date,start_time,start_time_lookup,end_time,end_time_lookup,event_type,latitude,longitude,accuracy,area,country_code,country,region,targets,weapons,total_deaths,total_hostages,total_injured,deaths,hostages,injured,perpetrators,tnt_equivalent_in_kg,delivery_method,connected_attacks,author,updated_at,created_at,deleted_at,attributions
38954,,False,0,"An adhesive car bomb explosion wounded two people traveling on a highway close to the Ibn Alkuf hospital northeast of the Zayona neighbourhood in Baghdad on the evening of 31 December. At the time of writing, no individual or group claimed responsibility for the attack.",http://iraq-amsi.net/ar/92205,,2016-12-31,2016-12-31,Evening,evening,Unspecified,unspecified,Bombing,33.333863,44.467378,100-200m,"Ibn Alkuf Hospital, Zayona, Baghdad",IRQ,Iraq,Middle East,Civilians/General Public,Explosives,0,0,2,Iraq: 0,Iraq: 0,Iraq: 2,Afghanistan:Unknown:Undetermined,0.0,Vehicle-borne,,Unknown author,2022-10-29 13:03:34+0000,2021-07-11 13:30:24+0000,,"perpetrator_name: Unknown, perpetrator_type: Undetermined,is_claimed: False, is_suspected: False,is_officially_attributed: False"
38962,Sinak market,True,0,A twin suicide bombing killed at least 28 people and wounded 50 others at Sinak market in central Baghdad on the morning of 31 December. Media reports indicate that the first bombing took place close to an auto shop. The second suicide bomber reportedly detonated his vest once a crowd had gathered at the scene. Islamic State (IS) claimed responsibility for the attack.,http://www.aljazeera.com/news/2016/12/baghdad-18-killed-bomb-attack-rocks-al-sinak-161231061047053.html	http://www.bbc.com/news/world-middle-east-38476807,,2016-12-31,2016-12-31,Morning,morning,Unspecified,unspecified,Bombing,33.333433,44.400001,100-200m,"Sinak market, Al-Rasheed, Baghdad",IRQ,Iraq,Middle East,Public Spaces,Explosives,28,0,50,Iraq: 28,Iraq: 0,Iraq: 50,Iraq:Islamic State (IS):Global Islamist,0.0,Person-borne,,Unknown author,2022-10-29 13:03:37+0000,2021-07-11 13:30:28+0000,,"perpetrator_name: Islamic State (IS), perpetrator_type: Global Islamist,is_claimed: True, is_suspected: False,is_officially_attributed: False"
38964,,False,2,"Police officers tracked down two suicide bombers in the Khadimiyah area in northern Baghdad and killed them before they could detonate their explosives on 31 December. Media reports indicate that they had traveled in a car. At the time of writing, no group claimed responsibility for the failed attack.",http://www.aljazeera.com/news/2016/12/baghdad-18-killed-bomb-attack-rocks-al-sinak-161231061047053.html,,2016-12-31,2016-12-31,Afternoon,afternoon,Unspecified,unspecified,Bombing,33.378706,44.346313,100-200m,"Khadimiyah, Baghdad",IRQ,Iraq,Middle East,Civilians/General Public,Explosives,0,0,0,Iraq: 0,Iraq: 0,Iraq: 0,Afghanistan:Unknown:Undetermined,0.0,Person-borne,,Unknown author,2022-10-29 13:03:38+0000,2021-07-11 13:30:29+0000,,"perpetrator_name: Unknown, perpetrator_type: Undetermined,is_claimed: False, is_suspected: False,is_officially_attributed: False"
38955,,False,0,"A car bomb explosion failed to cause any casualties or significant damage close to a cinema in the Baghdad Al-Jadeeda neighbourhood in eastern Baghdad on the evening of 31 December. At the time of writing, no individual or group claimed responsibility for the attack.",http://iraq-amsi.net/ar/92202,,2016-12-31,2016-12-31,Evening,evening,Unspecified,unspecified,Bombing,33.305081,44.488947,100-200m,"Baghdad Al-Jadeeda, Baghdad",IRQ,Iraq,Middle East,Civilians/General Public,Explosives,0,0,0,Iraq: 0,Iraq: 0,Iraq: 0,Afghanistan:Unknown:Undetermined,0.0,Vehicle-borne,,Unknown author,2022-10-29 13:03:34+0000,2021-07-11 13:30:24+0000,,"perpetrator_name: Unknown, perpetrator_type: Undetermined,is_claimed: False, is_suspected: False,is_officially_attributed: False"
38960,,False,0,"A bomb explosion killed two police officers traveling along the Al-Qantara highway on the outskirts of Al-Arish in North Sinai province on the morning of 31 December. Media reports indicate that the police officers were traveling in the area to identify and defuse roadside bombs. At the time of writing, no individual or group claime responsibility for the attack, however, Islamic State (IS) - Sinai Province have claimed similar attacks in the past.",http://www.dailynewsegypt.com/2016/12/31/police-officer-conscript-killed-ied-explosion-near-al-arish/	http://english.alarabiya.net/en/News/north-africa/2016/12/31/Police-officer-and-soldier-in-Egypt-roadside-bombing.html,,2016-12-31,2016-12-31,Morning,morning,Unspecified,unspecified,Bombing,31.144031,33.861279,100-200m,"Al-Qantara highway, Arish, North Sinai",EGY,Egypt,North Africa,Law Enforcement/Internal Security Forces,Explosives,2,0,0,Egypt: 2,Egypt: 0,Egypt: 0,Egypt:Islamic State - Sinai Province:National Islamist,0.0,Emplaced,,Unknown author,2022-10-29 13:03:36+0000,2021-07-11 13:30:27+0000,,"perpetrator_name: Islamic State - Sinai Province, perpetrator_type: National Islamist,is_claimed: False, is_suspected: False,is_officially_attributed: False"
38991,,False,0,"A group of gunmen killed three soldiers and wounded seven others in an attack on a military base at Barwa, Diffa, at approximately 2300hrs on 31 December. Media reports indicate that security forces captured 15 of the attackers. At the time of writing, no group claimed responsibility for the attack, however, Boko Haram are active in the border region between Nigeria and Niger.",http://www.actuniger.com/societe/12437-attaque-perpetree-par-boko-haram-dans-la-localite-de-barwa-trois-elements-des-fds-tombes-sur-le-champ-d-honneur-quinze-15-assaillants-tues-ministere-de-la-defense.html and http://www.sahelien.com/viewer?id=586ba6b58f7ee7cc57000171,,2016-12-31,2016-12-31,Evening,evening,Unspecified,unspecified,Armed attack,13.286729,12.551537,100-200m,"Barwa, Diffa",NER,Niger,North Africa,Military,Firearms,3,0,7,Niger: 3,Niger: 0,Niger: 7,Nigeria:Boko Haram:National Islamist,0.0,Undetermined,,Unknown author,2022-10-29 13:03:48+0000,2021-07-11 13:30:46+0000,,"perpetrator_name: Boko Haram, perpetrator_type: National Islamist,is_claimed: False, is_suspected: False,is_officially_attributed: False"
38959,,False,0,"A bomb explosion wounded four members of a family traveling on a motorbike in Bakhtirabad in Lehri, Punjab, on the afternoon of 31 December. At the time of writing, no individual or group claimed responsibility for the attack.",http://www.dawn.com/news/1305688/man-woman-shot-dead,,2016-12-31,2016-12-31,Afternoon,afternoon,Unspecified,unspecified,Bombing,33.138414,73.541107,100-200m,"Bakhtirabad, Lehri, Punjab",PAK,Pakistan,South Asia,Civilians/General Public,Explosives,0,0,4,Pakistan: 0,Pakistan: 0,Pakistan: 4,Afghanistan:Unknown:Undetermined,0.0,Emplaced,,Unknown author,2022-10-29 13:03:36+0000,2021-07-11 13:30:27+0000,,"perpetrator_name: Unknown, perpetrator_type: Undetermined,is_claimed: False, is_suspected: False,is_officially_attributed: False"
38961,,True,0,"A female suicide bomber seriously injured a person in an attackin acrowded waitingarea at a customs buildingin Maiduguri,Borno at approximately 2130hrs on 31 December. Media reports indicate that the suicide bomber most likely detonated her explosive vest prematurely. At the time of writing, no group claimed responsibility for the attack, however, Boko Haram are active in the area.",http://www.gmanetwork.com/news/story/594314/news/world/10-year-old-girl-used-as-human-bomb-in-new-year-s-eve-attack-in-nigeria	http://www.mirror.co.uk/news/world-news/girl-10-blows-herself-up-9545874,,2016-12-31,2016-12-31,Evening,evening,Unspecified,unspecified,Bombing,11.812748,13.161793,100-200m,"Maiduguri, Borno",NGA,Nigeria,West and Central Africa,Civilians/General Public,Explosives,0,0,1,Nigeria: 0,Nigeria: 0,Nigeria: 1,Nigeria:Boko Haram:National Islamist,0.0,Person-borne,,Unknown author,2022-10-29 13:03:37+0000,2021-07-11 13:30:28+0000,,"perpetrator_name: Boko Haram, perpetrator_type: National Islamist,is_claimed: False, is_suspected: False,is_officially_attributed: False"
38996,Police at checkpoint,False,0,"Gunmen killed a police recruit at the Sadot checkpoint, south of the city of Rafah in North Sinai on 30 December. At the time of writing, no group claimed responsibility for the attack, however, TerrorismTracker data shows that Islamic State (IS)- Sinai Province is active in the area and often targets security forces at checkpoints.",http://www.masralarabia.com/%D8%AD%D9%88%D8%A7%D8%AF%D8%AB/1335973-%D9%85%D9%82%D8%AA%D9%84-%D9%85%D8%AC%D9%86%D8%AF-%D9%81%D9%8A-%D9%87%D8%AC%D9%88%D9%85-%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D9%81-%D8%AD%D8%A7%D8%AC%D8%B2%D9%8B%D8%A7-%D8%A3%D9%85%D9%86%D9%8A%D9%8B%D8%A7-%D8%B4%D9%85%D8%A7%D9%84-%D8%B3%D9%8A%D9%86%D8%A7%D8%A1	http://abarahpress.com/world/214816.html/,,2016-12-30,2016-12-30,Unspecified,unspecified,Unspecified,unspecified,Armed attack,31.224098,34.206963,100-200m,"Sadot checkpoint, Rafah, North Sinai",EGY,Egypt,North Africa,Law Enforcement/Internal Security Forces,Firearms,1,0,0,Egypt: 1,Egypt: 0,Egypt: 0,Egypt:Islamic State - Sinai Province:National Islamist,0.0,Undetermined,,Unknown author,2022-10-29 13:03:50+0000,2021-07-11 13:30:49+0000,,"perpetrator_name: Islamic State - Sinai Province, perpetrator_type: National Islamist,is_claimed: False, is_suspected: False,is_officially_attributed: False"
38978,,False,0,"A vehicle bomb explosion wounded three people in the Al-Nasr neighbourhood in east Baghdad on 29 December.  At the time of writing, no individual or group claimed responsibility for the attack, however, Islamic State (IS) claimed responsibility for a vehicle bomb attack in the nearby neighbourhood of Al-Kamaliyah on the same day.",http://www.alsumaria.tv/news/190435/%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA-%D8%A8%D8%BA%D8%AF%D8%A7%D8%AF-%D8%AA%D8%B9%D9%84%D9%86-%D8%A7%D9%86%D9%81%D8%AC%D8%A7%D8%B1-%D9%85%D9%81%D8%AE%D8%AE%D8%A9-%D9%81%D9%8A-%D8%AB%D8%A7%D9%86%D9%8A-%D8%AD/ar	; http://www.agenzianova.com/a/5865079f3d9830.07961634/1478071/2016-12-29/iraq-secondo-attentato-a-baghdad-due-morti-e-tre-feriti,,2016-12-29,2016-12-29,Unspecified,unspecified,Unspecified,unspecified,Bombing,33.392212,44.527588,100-200m,"Al-Nasr, Baghdad",IRQ,Iraq,Middle East,Civilians/General Public,Explosives,0,0,3,Iraq: 0,Iraq: 0,Iraq: 3,Iraq:Islamic State (IS):Global Islamist,0.0,Vehicle-borne,,Unknown author,2022-10-29 13:03:43+0000,2021-07-11 13:30:39+0000,,"perpetrator_name: Islamic State (IS), perpetrator_type: Global Islamist,is_claimed: True, is_suspected: False,is_officially_attributed: False"
